file_id.serial_number,file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.number,file_id.type,device_info.timestamp[s],device_info.serial_number,device_info.manufacturer,device_info.garmin_product,device_info.software_version,software.version,unknown.unknown,monitoring_info.timestamp[s],monitoring_info.local_timestamp[s],monitoring_info.cycles_to_distance[m/cycle],monitoring_info.cycles_to_calories[kcal/cycle],monitoring_info.unknown,monitoring_info.resting_metabolic_rate[kcal / day],monitoring_info.activity_type,monitoring.timestamp[s],monitoring.unknown,ohr_settings.timestamp[s],ohr_settings.enabled,event.timestamp[s],event.data16,event.event,event.event_type,event.data,monitoring.current_activity_type_intensity,monitoring.activity_type,monitoring.intensity,stress_level.stress_level_time[s],stress_level.stress_level_value,stress_level.unknown,respiration_rate.timestamp,respiration_rate.respiration_rate[breaths/min],monitoring.timestamp_16[s],monitoring.heart_rate[bpm],
"3478404119","1093560656","1","4394","144","32",,
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","200",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","200","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|105|46|65|0|2|0|224|230|0|0|192|205|1|0|0|0|0|0|0|0|0|0|0|0","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|105|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|105|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|105|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|105|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|105|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1","1093560656","200","78","3","200",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","88|0|0|224","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1","1093560656","200","78","3","200",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","128|32|5|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1","1093560656","200","78","3","200",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1","1093560656","200","78","3","200",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1","1093560656","200","78","3","200","9","9","0.0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1","1093560656","200","78","3","200","9","9","0.0","1093560660","-1","2",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1","1093560656","200","78","3","200","9","9","0.0","1093560660","-1","2","1093560660","-2.0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560600","0","1093560600","1","1093560656","200","78","3","200","9","9","0.0","1093560660","-1","2","1093560660","-2.0","26964","0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560660","0","1093560600","1","1093560656","200","78","3","200","168","8","5.0","1093560660","-1","2","1093560660","-2.0","26964","0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560660","0","1093560660","1","1093560656","200","78","3","200","168","8","5.0","1093560660","-1","2","1093560660","-2.0","26964","0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560660","0","1093560660","1","1093560656","200","78","3","200","168","8","5.0","1093560660","-1","2","1093560660","-2.0","26964","0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","80|20|0|208","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560660","0","1093560660","1","1093560656","200","78","3","200","168","8","5.0","1093560660","-1","2","1093560660","-2.0","26964","0",
"3478404119","1093560656","1","4394","144","32","1093560656","3478404119","1","4394","16.11","6.0","85|105|46|65|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093560600","1093567800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093560660","0","1093560660","1","1093560656","200","78","3","200","168","8","5.0","1093560660","-1","2","1093560660","-2.0","26964","0",
